Effective water- to-cement ratio,Aggregate-to-cement ratio (a/c),RCA replacement ratio (RCA %),Parent concrete strength(MPa),Nominal maximum RCA size(mm),Nominal maximum NA size(mm),Water absorption of RCA(WARCA) (%),Water absorption of NA,Los Angeles abrasion of RCA,Los Angeles abrasion of NA,Compressive strength (f’c) (MPa)
0.45,3.163619047619047,0.0,42.71818181818182,21.5609756097561,22.30243902439024,6.1,1.2,59.8,25.13953488372093,27.1
0.35,3.29,0.0,42.71818181818182,21.5609756097561,22.30243902439024,2.7,1.2,36.540740740740745,25.13953488372093,51.0
0.32,5.75,100.0,42.71818181818182,21.5609756097561,22.30243902439024,5.07,1.48,36.540740740740745,25.13953488372093,13.0
0.34,2.2,0.0,42.71818181818182,20.0,20.0,5.158959537572255,0.9,36.540740740740745,25.13953488372093,70.5
0.57,3.6,50.0,42.71818181818182,32.0,20.0,2.4,0.3,34.0,29.2,45.2
0.54,4.93,100.0,42.71818181818182,21.5609756097561,22.30243902439024,4.2,1.1,36.540740740740745,25.13953488372093,34.14
0.41,1.7,60.0,42.71818181818182,20.0,20.0,3.7,0.7,36.540740740740745,25.13953488372093,40.4
0.29,2.7,50.0,40.0,10.0,10.0,5.9,2.1,24.3,24.8,70.5
0.65,3.1,0.0,42.71818181818182,19.0,25.0,5.158959537572255,0.7,36.540740740740745,25.13953488372093,21.8
0.47,3.7,20.0,42.71818181818182,20.0,25.0,3.6,1.0,36.540740740740745,25.13953488372093,50.0
0.27,3.7,50.0,42.71818181818182,21.5609756097561,22.30243902439024,5.07,1.48,36.540740740740745,25.13953488372093,17.0
0.44,3.1,50.0,42.71818181818182,20.0,22.0,5.3,1.4,36.540740740740745,25.13953488372093,31.0
0.47,3.0,0.0,42.71818181818182,32.0,25.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,48.6
0.41,1.7,45.0,42.71818181818182,20.0,20.0,4.6,0.7,36.540740740740745,25.13953488372093,45.8
0.41,3.3,30.0,42.71818181818182,32.0,22.0,6.0,0.3,36.540740740740745,25.13953488372093,31.0
0.6,3.163619047619047,20.0,42.71818181818182,21.5609756097561,22.30243902439024,6.1,1.2,59.8,25.13953488372093,58.8
0.54,4.98,100.0,42.71818181818182,21.5609756097561,22.30243902439024,4.2,1.1,36.540740740740745,25.13953488372093,46.71
0.45,3.163619047619047,25.0,38.25,25.0,25.0,5.2,2.9,34.0,22.0,41.41
0.42,2.9,20.0,42.71818181818182,19.0,19.0,5.3,0.5,37.0,23.0,67.4
0.43,3.0,100.0,42.7,25.0,16.0,2.9,1.1553691275167786,36.540740740740745,25.13953488372093,43.3
0.6,4.1,100.0,42.71818181818182,15.0,20.0,5.6,1.1553691275167786,36.540740740740745,25.13953488372093,38.2
0.5,3.5,100.0,42.71818181818182,20.0,20.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,20.4
0.5,3.4,50.0,42.71818181818182,12.0,22.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,46.9
0.7,3.4,100.0,42.71818181818182,19.0,20.0,11.9,1.1553691275167786,36.540740740740745,25.13953488372093,29.9
