Effective water- to-cement ratio,Aggregate-to-cement ratio (a/c),RCA replacement ratio (RCA %),Parent concrete strength(MPa),Nominal maximum RCA size(mm),Nominal maximum NA size(mm),Water absorption of RCA(WARCA) (%),Water absorption of NA,Los Angeles abrasion of RCA,Los Angeles abrasion of NA,Compressive strength (f’c) (MPa)
0.45,1.9,0.0,46.176785714285714,19.0,25.0,5.4,0.9,35.59479166666667,26.013793103448275,35.2
0.45,3.3,100.0,46.176785714285714,20.0,30.0,4.9,1.138730650154799,35.59479166666667,26.013793103448275,50.2
0.43,2.3,100.0,46.176785714285714,20.0,20.0,4.7,1.138730650154799,30.1,26.013793103448275,37.0
0.48,3.3,0.0,46.176785714285714,20.0,22.0,5.2220498614958455,1.4,35.59479166666667,26.013793103448275,33.0
0.29,3.0800824742268045,50.0,46.176785714285714,12.0,12.0,6.1,2.0,35.59479166666667,26.013793103448275,76.4375
0.6,3.3,50.0,46.176785714285714,12.0,30.0,6.8,3.0,35.59479166666667,26.013793103448275,31.6
0.46,3.0800824742268045,100.0,46.176785714285714,21.42094017094017,21.955128205128204,5.1,0.5,35.59479166666667,26.013793103448275,33.1
0.5,2.5,25.0,46.176785714285714,25.0,25.0,4.1,0.8,35.59479166666667,26.013793103448275,50.0
0.52,2.6,50.0,46.176785714285714,20.0,20.0,3.9,1.2,30.8,29.1,39.5
0.54,3.2,0.0,46.176785714285714,22.0,25.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,23.5
0.43,3.1,100.0,46.176785714285714,25.0,25.0,7.5,1.138730650154799,35.59479166666667,26.013793103448275,26.5
0.41,1.7,15.0,46.176785714285714,20.0,32.0,4.0,0.7,35.59479166666667,26.013793103448275,54.0
0.46,2.4,0.0,46.176785714285714,25.0,38.0,5.2220498614958455,1.2,35.59479166666667,26.013793103448275,42.2
0.5,2.4,100.0,46.176785714285714,25.0,32.0,4.1,1.138730650154799,35.59479166666667,26.013793103448275,51.0
0.46,3.0800824742268045,100.0,46.176785714285714,25.0,25.0,3.01,0.57,35.59479166666667,26.013793103448275,29.49
0.51,3.0800824742268045,60.0,46.176785714285714,25.0,25.0,3.01,0.57,35.59479166666667,26.013793103448275,28.53
0.44,2.3,100.0,46.176785714285714,20.0,20.0,7.8,1.138730650154799,35.59479166666667,26.013793103448275,53.2
0.81,4.9,0.0,46.176785714285714,22.0,20.0,5.2220498614958455,1.0,35.59479166666667,26.013793103448275,27.5
0.36,2.4,100.0,72.3,16.0,16.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,54.4
0.67,3.9,100.0,46.176785714285714,30.0,10.0,3.9,1.138730650154799,39.0,26.013793103448275,15.4
0.24,4.5,40.0,46.176785714285714,21.42094017094017,21.955128205128204,4.6,0.5,43.3,30.2,14.0
0.42,2.9,100.0,46.176785714285714,22.0,20.0,4.2,1.138730650154799,35.59479166666667,26.013793103448275,68.5
0.39,2.5,20.0,46.176785714285714,20.0,20.0,5.2,1.0,40.2,27.8,47.4
0.4,2.7,16.0,46.176785714285714,25.0,25.0,5.4,1.1,35.59479166666667,26.013793103448275,32.7
0.57,3.3,100.0,46.176785714285714,30.0,30.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,32.7
0.54,3.0,20.0,41.4,20.0,22.0,7.3,1.2,40.0,24.8,50.5
0.55,3.3,50.0,46.176785714285714,22.0,20.0,8.8,3.0,35.59479166666667,26.013793103448275,36.3
0.5,2.8,30.0,46.176785714285714,25.0,32.0,5.2220498614958455,1.4,35.59479166666667,26.013793103448275,32.6
0.86,4.6,100.0,46.176785714285714,22.0,20.0,7.5,1.138730650154799,35.59479166666667,26.013793103448275,21.8
0.45,3.1,20.0,41.4,20.0,22.0,7.3,1.2,40.0,24.8,64.7
0.5,2.6,0.0,46.176785714285714,20.0,20.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,42.8
0.68,3.8,0.0,46.176785714285714,20.0,20.0,5.2220498614958455,0.9,35.59479166666667,26.013793103448275,34.5
0.42,3.2,10.0,46.176785714285714,20.0,25.0,6.8,0.8,35.59479166666667,26.013793103448275,62.2
0.47,2.5,15.0,38.4,20.0,20.0,5.8,0.9,35.59479166666667,26.013793103448275,38.1
0.55,3.2,50.0,46.176785714285714,12.0,30.0,6.8,3.0,35.59479166666667,26.013793103448275,34.5
0.52,3.2,100.0,46.176785714285714,32.0,25.0,2.0,1.138730650154799,35.59479166666667,26.013793103448275,41.1
0.36,3.1,70.0,46.176785714285714,32.0,22.0,6.0,0.3,35.59479166666667,26.013793103448275,28.4
0.57,3.1,20.0,46.176785714285714,20.0,32.0,6.3,1.3,35.59479166666667,26.013793103448275,43.2
0.68,3.4,20.0,46.176785714285714,20.0,19.0,5.3,1.8,42.0,31.0,33.5
0.5,2.5,50.0,46.176785714285714,25.0,32.0,4.1,0.8,35.59479166666667,26.013793103448275,51.0
0.36,2.6,53.0,46.176785714285714,32.0,20.0,9.3,0.4,35.59479166666667,26.013793103448275,45.7
0.52,3.1,0.0,46.176785714285714,25.0,32.0,5.2220498614958455,0.83,35.59479166666667,26.013793103448275,44.3
0.61,2.3,100.0,46.176785714285714,20.0,19.0,6.1,1.138730650154799,34.6,26.013793103448275,26.0
0.65,3.1,50.0,46.176785714285714,20.0,19.0,5.5,1.7,28.6,32.0,38.8
0.55,4.0,0.0,46.176785714285714,25.0,19.0,5.2220498614958455,0.9,35.59479166666667,26.013793103448275,42.0
0.27,1.8,100.0,46.176785714285714,10.0,20.0,6.2,1.138730650154799,22.1,26.013793103448275,60.2
0.24,3.0,100.0,46.176785714285714,32.0,32.0,6.3,1.138730650154799,35.59479166666667,26.013793103448275,35.5
0.42,2.9,20.0,46.176785714285714,20.0,20.0,5.3,1.8,42.0,31.0,53.5
0.54,3.0,100.0,46.176785714285714,19.0,19.0,5.3,1.138730650154799,37.0,26.013793103448275,53.7
0.41,1.7,60.0,46.176785714285714,20.0,32.0,4.4,0.7,35.59479166666667,26.013793103448275,42.4
0.86,4.6,0.0,46.176785714285714,22.0,20.0,5.2220498614958455,1.3,35.59479166666667,26.013793103448275,23.9
0.52,3.2,53.0,46.176785714285714,32.0,25.0,4.4,0.8,35.59479166666667,26.013793103448275,41.2
0.33,3.0800824742268045,30.0,46.176785714285714,25.0,25.0,3.01,0.57,35.59479166666667,26.013793103448275,39.5
0.66,3.9,100.0,46.176785714285714,30.0,32.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,27.5
0.5,3.5,100.0,46.176785714285714,25.0,19.0,4.5,1.138730650154799,35.59479166666667,26.013793103448275,38.3
0.36,2.4,0.0,63.2,16.0,16.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,48.9
0.45,3.3,30.0,46.176785714285714,20.0,30.0,4.9,2.5,35.59479166666667,26.013793103448275,50.6
0.43,2.9,50.0,46.176785714285714,20.0,20.0,2.6,1.1,35.59479166666667,21.6,46.0
0.6,3.4,20.0,46.176785714285714,16.0,20.0,6.9,1.9,35.59479166666667,26.013793103448275,42.9
0.44,2.5,50.0,46.176785714285714,20.0,20.0,5.3,1.8,42.0,31.0,45.0
0.5,3.5,0.0,46.176785714285714,20.0,20.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,28.3
0.46,3.0800824742268045,25.0,46.176785714285714,21.42094017094017,21.955128205128204,5.1,0.5,35.59479166666667,26.013793103448275,32.1
0.54,5.13,50.0,46.176785714285714,21.42094017094017,21.955128205128204,4.2,1.1,35.59479166666667,26.013793103448275,48.22
0.36,2.2,100.0,50.6,16.0,16.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,42.4
0.38,3.2,50.0,46.176785714285714,32.0,22.0,6.0,0.3,35.59479166666667,26.013793103448275,29.3
0.27,3.7,25.0,46.176785714285714,21.42094017094017,21.955128205128204,5.07,1.48,35.59479166666667,26.013793103448275,18.0
0.4,3.1,50.0,46.176785714285714,22.0,30.0,8.8,3.0,35.59479166666667,26.013793103448275,46.1
0.41,1.7,45.0,46.176785714285714,20.0,32.0,4.0,0.7,35.59479166666667,26.013793103448275,54.4
0.55,4.0,0.0,46.176785714285714,25.0,19.0,5.2220498614958455,0.9,35.59479166666667,26.013793103448275,35.5
0.45,3.1,0.0,41.4,20.0,22.0,5.2220498614958455,1.2,35.59479166666667,24.8,59.7
0.43,3.0,0.0,46.176785714285714,32.0,19.0,5.2220498614958455,0.4,35.59479166666667,26.013793103448275,35.9
0.66,3.9,100.0,46.176785714285714,30.0,32.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,25.7
0.63,3.6,0.0,46.176785714285714,22.0,20.0,5.2220498614958455,1.0,35.59479166666667,26.013793103448275,42.4
0.45,3.0800824742268045,25.0,28.25,25.0,25.0,5.2,2.9,34.0,22.0,30.27
0.45,3.1,50.0,46.176785714285714,15.0,20.0,5.6,1.138730650154799,35.59479166666667,26.013793103448275,59.4
0.67,3.0,50.0,46.176785714285714,19.0,19.0,5.3,0.5,37.0,23.0,63.5
0.6,3.3,50.0,46.176785714285714,22.0,20.0,8.8,3.0,35.59479166666667,26.013793103448275,34.7
0.42,2.6,50.0,46.176785714285714,19.0,20.0,5.8,0.2,33.6,25.0,34.5
0.41,2.2,100.0,46.176785714285714,30.0,30.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,38.7
0.26,3.0800824742268045,100.0,46.176785714285714,12.0,12.0,6.1,2.0,35.59479166666667,26.013793103448275,76.4375
0.67,3.6,0.0,46.176785714285714,19.0,19.0,5.2220498614958455,0.5,35.59479166666667,23.0,62.0
0.41,1.7,30.0,46.176785714285714,20.0,20.0,3.7,0.7,35.59479166666667,26.013793103448275,50.2
0.42,3.0,0.0,46.176785714285714,32.0,32.0,5.2220498614958455,0.4,35.59479166666667,26.013793103448275,38.6
0.57,3.3,100.0,46.176785714285714,30.0,32.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,30.5
0.47,3.6,75.0,46.176785714285714,20.0,25.0,3.6,1.0,35.59479166666667,26.013793103448275,44.0
0.41,1.7,60.0,46.176785714285714,20.0,20.0,3.8,0.7,35.59479166666667,26.013793103448275,48.0
0.51,3.0800824742268045,100.0,46.176785714285714,25.0,25.0,3.01,0.57,35.59479166666667,26.013793103448275,27.08
0.4,3.1,100.0,41.4,20.0,22.0,7.3,1.138730650154799,40.0,26.013793103448275,62.8
0.41,1.7,15.0,46.176785714285714,20.0,20.0,4.6,0.7,35.59479166666667,26.013793103448275,50.5
0.36,2.4,100.0,46.176785714285714,16.0,16.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,57.5
0.5,2.6,0.0,46.176785714285714,20.0,20.0,5.2220498614958455,1.1,35.59479166666667,26.013793103448275,54.1
0.51,3.1,0.0,46.176785714285714,19.0,19.0,5.2220498614958455,0.5,35.59479166666667,23.0,60.1
0.41,5.24,0.0,46.176785714285714,21.42094017094017,21.955128205128204,4.2,1.1,35.59479166666667,26.013793103448275,71.86
0.31,2.87,25.0,46.176785714285714,21.42094017094017,21.955128205128204,7.16,0.5,35.59479166666667,26.013793103448275,61.2
0.6,3.0,0.0,37.3,12.0,20.0,5.2220498614958455,0.6,35.59479166666667,26.013793103448275,39.5
0.58,3.2,0.0,46.176785714285714,32.0,32.0,5.2220498614958455,0.8,35.59479166666667,26.013793103448275,44.6
0.5,3.0800824742268045,0.0,46.176785714285714,21.42094017094017,21.955128205128204,5.1,0.5,35.59479166666667,26.013793103448275,26.3
0.4,2.8,100.0,46.176785714285714,22.0,20.0,3.6,1.138730650154799,35.59479166666667,26.013793103448275,70.2
0.42,2.8,20.0,46.176785714285714,20.0,20.0,4.5,1.2,28.5,29.1,48.1
0.6,3.0800824742268045,50.0,46.176785714285714,21.42094017094017,21.955128205128204,6.1,1.2,59.8,26.013793103448275,62.5
0.38,3.2,50.0,46.176785714285714,32.0,22.0,6.0,0.3,35.59479166666667,26.013793103448275,29.3
0.55,2.5,20.0,46.176785714285714,20.0,32.0,3.5,1.1,35.59479166666667,26.013793103448275,45.3
0.5,2.6,20.0,46.176785714285714,20.0,20.0,3.5,1.1,35.59479166666667,26.013793103448275,51.7
0.36,2.3,100.0,66.0,16.0,16.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,49.6
0.64,6.56,0.0,46.176785714285714,21.42094017094017,21.955128205128204,4.2,1.1,35.59479166666667,26.013793103448275,45.24
0.56,2.1,100.0,46.176785714285714,16.0,20.0,5.0,1.138730650154799,35.59479166666667,26.013793103448275,40.5
0.55,2.6,20.0,46.176785714285714,20.0,20.0,3.5,1.1,35.59479166666667,26.013793103448275,45.3
0.5,2.3,100.0,46.176785714285714,20.0,20.0,4.5,1.138730650154799,28.5,26.013793103448275,31.4
0.66,3.9,100.0,46.176785714285714,30.0,32.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,28.0
0.36,2.3,100.0,41.6,16.0,16.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,44.5
0.36,2.4,0.0,41.6,16.0,16.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,48.4
0.43,2.8,100.0,46.176785714285714,20.0,20.0,3.9,1.138730650154799,38.8,26.013793103448275,42.5
0.23,2.0,100.0,46.176785714285714,25.0,38.0,7.5,1.138730650154799,35.59479166666667,26.013793103448275,33.2
0.5,2.5,25.0,46.176785714285714,25.0,25.0,4.1,0.8,35.59479166666667,26.013793103448275,49.0
0.45,2.8,0.0,46.176785714285714,20.0,20.0,5.2220498614958455,1.1,35.59479166666667,26.013793103448275,66.8
0.27,3.7,100.0,46.176785714285714,21.42094017094017,21.955128205128204,5.07,1.48,35.59479166666667,26.013793103448275,14.0
0.68,3.6,100.0,46.176785714285714,20.0,20.0,3.1,1.138730650154799,35.59479166666667,26.013793103448275,35.0
0.35,3.1,0.0,46.176785714285714,30.0,10.0,5.2220498614958455,0.5,35.59479166666667,28.0,37.5
0.67,3.3,0.0,37.3,12.0,20.0,5.2220498614958455,0.6,35.59479166666667,26.013793103448275,65.2
0.4,2.7,25.0,46.176785714285714,21.42094017094017,21.955128205128204,4.34,2.61,35.59479166666667,26.013793103448275,42.8
0.53,2.7,0.0,46.176785714285714,19.0,19.0,5.2220498614958455,0.5,35.59479166666667,23.0,57.3
0.48,5.1,0.0,36.0,25.0,20.0,5.2220498614958455,1.2,35.59479166666667,26.013793103448275,41.3
0.24,4.5,0.0,46.176785714285714,21.42094017094017,21.955128205128204,4.6,0.5,43.3,30.2,13.0
0.39,2.4,100.0,46.176785714285714,32.0,32.0,1.8,1.138730650154799,35.59479166666667,26.013793103448275,38.4
0.44,3.83,50.0,46.176785714285714,21.42094017094017,21.955128205128204,2.01,0.68,35.59479166666667,26.013793103448275,45.0
0.87,4.6,100.0,46.176785714285714,22.0,20.0,7.8,1.138730650154799,35.59479166666667,26.013793103448275,19.7
0.4,2.7,0.0,46.176785714285714,21.42094017094017,21.955128205128204,5.2220498614958455,2.61,35.59479166666667,26.013793103448275,48.1
0.41,1.7,45.0,46.176785714285714,20.0,20.0,3.7,0.7,35.59479166666667,26.013793103448275,49.5
0.36,2.9,100.0,65.3,25.0,16.0,5.3,1.138730650154799,35.59479166666667,26.013793103448275,44.7
0.31,2.87,50.0,46.176785714285714,21.42094017094017,21.955128205128204,7.16,0.5,35.59479166666667,26.013793103448275,57.5
0.42,3.7,30.0,37.3,12.0,20.0,10.9,0.6,35.59479166666667,26.013793103448275,51.0
0.39,2.2,37.0,46.176785714285714,25.0,25.0,5.4,1.1,35.59479166666667,26.013793103448275,31.7
0.5,2.5,50.0,46.176785714285714,25.0,32.0,4.1,0.8,35.59479166666667,26.013793103448275,51.0
0.45,2.5,20.0,46.176785714285714,20.0,20.0,5.3,1.8,35.59479166666667,31.0,50.5
0.67,4.0,50.0,37.3,12.0,20.0,10.9,0.6,35.59479166666667,26.013793103448275,47.8
0.45,3.0800824742268045,0.0,28.25,25.0,25.0,5.2,2.9,34.0,22.0,34.12
0.53,5.27,0.0,46.176785714285714,21.42094017094017,21.955128205128204,4.2,1.1,35.59479166666667,26.013793103448275,51.42
0.48,2.8,0.0,46.176785714285714,19.0,25.0,5.2220498614958455,0.7,35.59479166666667,26.013793103448275,28.9
0.5,3.2,50.0,46.176785714285714,22.0,30.0,8.8,3.0,35.59479166666667,26.013793103448275,39.9
0.53,3.8,30.0,37.3,12.0,20.0,10.9,0.6,35.59479166666667,26.013793103448275,65.4
0.33,3.0800824742268045,60.0,46.176785714285714,25.0,25.0,3.01,0.57,35.59479166666667,26.013793103448275,43.8
0.45,2.3,100.0,46.176785714285714,19.0,25.0,5.4,1.138730650154799,35.59479166666667,26.013793103448275,43.9
0.52,3.2,50.0,46.176785714285714,32.0,22.0,4.4,0.8,35.59479166666667,26.013793103448275,41.2
0.45,2.5,50.0,46.176785714285714,19.0,20.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,37.0
0.36,2.2,100.0,63.2,16.0,16.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,50.7
0.5,2.5,20.0,46.176785714285714,20.0,20.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,42.7
0.27,3.7,0.0,46.176785714285714,21.42094017094017,21.955128205128204,5.07,1.48,35.59479166666667,26.013793103448275,20.0
0.44,2.6,50.0,46.176785714285714,20.0,19.0,5.8,1.2,32.2,29.1,44.6
0.5,3.4,100.0,46.176785714285714,22.0,22.0,5.2220498614958455,1.138730650154799,35.59479166666667,26.013793103448275,48.6
0.42,2.4,0.0,46.176785714285714,32.0,32.0,5.2220498614958455,0.4,35.59479166666667,26.013793103448275,38.6
